Metric,Value
Start,2018-01-05 00:00:00
End,2025-09-18 00:00:00
Period,1507 days 00:00:00
Start Value,1000000.0
End Value,1737341.4722078699
Total Return [%],73.73414722078698
Benchmark Return [%],57.127274014660735
Max Gross Exposure [%],100.00000000000003
Total Fees Paid,30409.534862761317
Max Drawdown [%],37.12223686403068
Max Drawdown Duration,272 days 00:00:00
Total Trades,518
Total Closed Trades,492
Total Open Trades,26
Open Trade PnL,0.0
Win Rate [%],82.3170731707317
Best Trade [%],428.6446678843954
Worst Trade [%],-35.746776240902065
Avg Winning Trade [%],72.40082503208008
Avg Losing Trade [%],-11.157152139644664
Avg Winning Trade Duration,497 days 19:51:06.666666664
Avg Losing Trade Duration,395 days 19:18:37.241379308
Profit Factor,36.37151700819899
Expectancy,1571.692308329295
Sharpe Ratio,0.6462209439420605
Calmar Ratio,0.3856016448939083
Omega Ratio,1.2487675802319937
Sortino Ratio,0.26598601310302344
Volatility [%],1.3699996453881869
Skewness,-2.938612178518349
Kurtosis,52.03821325478846
VaR 5%,-0.011373175567261844
CVaR 5%,-0.0339023585959909
Profit/Loss Ratio,6.489185064961031
Return 2018 [%],0.0
Return 2019 [%],3.141959187822385
Return 2020 [%],17.151073403404315
Return 2021 [%],29.18199942095314
Return 2022 [%],-18.874989096179252
Return 2023 [%],79.56750865722684
Return 2024 [%],-17.686939920076693
Return 2025 [%],-7.1781407556196
Average Annual Return [%],10.662808862191394
Min Annual Return [%],-18.874989096179252
Max Annual Return [%],79.56750865722684
