Metric,Value
Start,2018-01-05 00:00:00
End,2025-09-18 00:00:00
Period,1507 days 00:00:00
Start Value,1000000.0
End Value,1453181.7562653888
Total Return [%],45.318175626538896
Benchmark Return [%],58.17671723281688
Max Gross Exposure [%],100.0
Total Fees Paid,52924.487900047665
Max Drawdown [%],38.914669517780986
Max Drawdown Duration,299 days 00:00:00
Total Trades,1108
Total Closed Trades,1074
Total Open Trades,34
Open Trade PnL,18413.84281479254
Win Rate [%],65.36312849162012
Best Trade [%],385.50581532802454
Worst Trade [%],-46.81974026492407
Avg Winning Trade [%],47.42716571293688
Avg Losing Trade [%],-15.344346954323509
Avg Winning Trade Duration,495 days 04:47:10.769230768
Avg Losing Trade Duration,526 days 08:00:00
Profit Factor,4.348089038362702
Expectancy,693.2224194438936
Sharpe Ratio,0.553506984524911
Calmar Ratio,0.2434777557767282
Omega Ratio,1.1334409997373347
Sortino Ratio,0.398849613175125
Volatility [%],1.0510339390530639
Skewness,-2.940445779743076
Kurtosis,40.354019590058016
VaR 5%,-0.011721180269505166
CVaR 5%,-0.027460241364665638
Profit/Loss Ratio,3.098064117878468
Return 2018 [%],0.0
Return 2019 [%],2.480571602776638
Return 2020 [%],12.555430200302386
Return 2021 [%],23.69425938660461
Return 2022 [%],-23.505824943119478
Return 2023 [%],74.34236741685348
Return 2024 [%],-18.557302177402757
Return 2025 [%],-6.226754948374602
Average Annual Return [%],8.097843317205033
Min Annual Return [%],-23.505824943119478
Max Annual Return [%],74.34236741685348
